asset_id,original_filename,logical_path,path_breadcrumb,domain,section,is_project_file,project_id,project_category_original,display_title,improved_display_title,short_title,improved_short_title,display_subtitle,document_role,inferred_document_role,professional_role_label,current_category,current_subcategory,cleaned_domain,cleaned_category,cleaned_subcategory,cleaned_domain_revised,cleaned_category_revised,classification_reason_revised,page_id,extraction_status,indexed_in_search,text_eligible_revised,preview_status_revised,needs_redigitalization,needs_redigitalization_revised,duplicate_status,duplicate_type,duplicate_action_recommendation,browse_visibility,sensitive_flag,unknown_type,unknown_type_revised,confidence_score,confidence_revised,review_status,human_review_needed,metadata_score,metadata_grade,metadata_score_revised,metadata_grade_revised,missing_metadata_fields_revised,primary_ui_badges,recommended_action,metadata_display_level,rename_needed,rename_needed_revised,suggested_filename_for_later_review,search_aliases_enhanced,title_issue_flags,file_extension_revised
asset_92fd7a8cac1eccbf,Woikoski_liite_3_hintaliite_laak_erik_teol.pdf,ORDERS & RELATED INFORMATION/Archive/Gas_ordering_instructions_Woikoski/Woikoski_liite_3_hintaliite_laak_erik_teol.pdf,ORDERS & RELATED INFORMATION › Archive › Gas_ordering_instructions_Woikoski,orders_procurement,orders_archive,False,,,Order Form — Woikoski Liite 3 Hintaliite Laak Erik Teol,Woikoski Liite 3 Hintaliite Laak Erik Teol — Order / Procurement Record,Order Form — Woikoski Liite 3 Hintaliite Laak…,Woikoski Liite 3 Hintaliite Laak Erik Teol — Order / Procurement Record,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Gas & Facility Services,gas ordering / facility service,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Woikoski_Liite_3_Hintaliite_Laak_Erik_Teol_Order_-_Procurement_Record.pdf,Woikoski_liite_3_hintaliite_laak_erik_teol.pdf|Woikoski_liite_3_hintaliite_laak_erik_teol|Order Form — Woikoski Liite 3 Hintaliite Laak Erik Teol|Woikoski Liite 3 Hintaliite Laak Erik Teol|Woikoski Liite 3 Hintaliite Laak Erik Teol — Order / Procurement Record,,.pdf
asset_f236b04bfa9cd0b0,Infektiosäkki(1).docx,ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Infektiosäkki(1).docx,ORDERS & RELATED INFORMATION › Archive › Lab_coats_Färkkilä_lab,orders_procurement,orders_archive,False,,,Order Form — Infektiosäkki(1),Infektiosäkki — Order / Procurement Record,Order Form — Infektiosäkki(1),Infektiosäkki — Order / Procurement Record,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Lab Coats & Laundry,lab clothing / laundry service,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Infektiosakki_Order_-_Procurement_Record.docx,Infektiosäkki(1).docx|Infektiosäkki(1)|Order Form — Infektiosäkki(1)|Infektiosäkki|Infektiosäkki — Order / Procurement Record,,.docx
asset_bbe3ea7c33954de6,Infektiosäkki.docx,ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Infektiosäkki.docx,ORDERS & RELATED INFORMATION › Archive › Lab_coats_Färkkilä_lab,orders_procurement,orders_archive,False,,,Order Form — Infektiosäkki,Infektiosäkki — Order / Procurement Record,Order Form — Infektiosäkki,Infektiosäkki — Order / Procurement Record,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Lab Coats & Laundry,lab clothing / laundry service,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Infektiosakki_Order_-_Procurement_Record.docx,Infektiosäkki.docx|Infektiosäkki|Order Form — Infektiosäkki|Infektiosäkki|Infektiosäkki — Order / Procurement Record,,.docx
asset_98c9dd3a66653219,Lab coats Färkkila lab asiakasnumero.docx,ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Lab coats Färkkila lab asiakasnumero.docx,ORDERS & RELATED INFORMATION › Archive › Lab_coats_Färkkilä_lab,orders_procurement,orders_archive,False,,,Order Form — Lab Coats Färkkila Lab Asiakasnumero,Lab Coats Färkkila Lab Asiakasnumero — Order / Procurement Record,Order Form — Lab Coats Färkkila Lab Asiakasn…,Lab Coats Färkkila Lab Asiakasnumero — Order / Procurement Record,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Lab Coats & Laundry,lab clothing / laundry service,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Lab_Coats_Farkkila_Lab_Asiakasnumero_Order_-_Procurement_Record.docx,Lab coats Färkkila lab asiakasnumero.docx|Lab coats Färkkila lab asiakasnumero|Order Form — Lab Coats Färkkila Lab Asiakasnumero|Lab Coats Färkkila Lab Asiakasnumero|Lab Coats Färkkila Lab Asiakasnumero — Order / Procurement Record,,.docx
asset_59382ba7cca709c0,Työvaatekoonti LAB COATS Lindström Sept2019.xlsx,ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Työvaatekoonti LAB COATS Lindström Sept2019.xlsx,ORDERS & RELATED INFORMATION › Archive › Lab_coats_Färkkilä_lab,orders_procurement,orders_archive,False,,,Order Form — Työvaatekoonti LAB COATS Lindström Sept2019,Työvaatekoonti LAB Coats Lindström Sept2019 — Order / Procurement Record,Order Form — Työvaatekoonti LAB COATS Lindst…,Työvaatekoonti LAB Coats Lindström Sept2019 — Order / Procurement Record,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Lab Coats & Laundry,lab clothing / laundry service,orders.archive,extracted,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.95,0.95,auto_high_confidence,False,100,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Tyovaatekoonti_LAB_Coats_Lindstrom_Sept2019_Order_-_Procurement_Record.xlsx,Työvaatekoonti LAB COATS Lindström Sept2019.xlsx|Työvaatekoonti LAB COATS Lindström Sept2019|Order Form — Työvaatekoonti LAB COATS Lindström Sept2019|Työvaatekoonti LAB Coats Lindström Sept2019|Työvaatekoonti LAB Coats Lindström Sept2019 — Order / Procurement Record,,.xlsx
asset_a8de3d88de3e348f,BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf,ORDERS & RELATED INFORMATION/Archive/OFFERS_QUOTES/BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf,ORDERS & RELATED INFORMATION › Archive › OFFERS_QUOTES,orders_procurement,orders_archive,False,,,Order Form — Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (färkkilä & Vähärautio Labs),Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (Färkkilä & Vähärautio Labs) — Order / Procurement Record — 2022-05-05,Order Form — Bio Nordika Quote TA2022 0505 KL…,Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (Färkkilä & Vä…,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Procurement Records,general order/procurement record,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Bio_Nordika_Quote_TA2022_0505_KL_HY_Anastasiya_Chernenko_Farkkila_and_Vaharautio_Labs_Order_-_Procurement_Record_2022-05-05.pdf,BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf|BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs)|Order Form — Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (färkkilä & Vähärautio Labs)|Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (Färkkilä & Vähärautio Labs)|Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (Färkkilä & Vähärautio Labs) — Order / Procurement Record — 2022-05-05,,.pdf
asset_67eac9eb48a1e19f,Fisher 2019 Eppendorf centrifuges offer.pdf,ORDERS & RELATED INFORMATION/Archive/OFFERS_QUOTES/Fisher 2019 Eppendorf centrifuges offer.pdf,ORDERS & RELATED INFORMATION › Archive › OFFERS_QUOTES,orders_procurement,orders_archive,False,,,Order Form — Fisher 2019 Eppendorf Centrifuges Offer,Fisher 2019 Eppendorf Centrifuges Offer — Quote / Offer,Order Form — Fisher 2019 Eppendorf Centrifuge…,Fisher 2019 Eppendorf Centrifuges Offer — Quote / Offer,Quote / Offer,order_form,quote_or_offer,Quote / Offer,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Quotes & Offers,supplier quote or offer,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Fisher_2019_Eppendorf_Centrifuges_Offer_Quote_-_Offer.pdf,Fisher 2019 Eppendorf centrifuges offer.pdf|Fisher 2019 Eppendorf centrifuges offer|Order Form — Fisher 2019 Eppendorf Centrifuges Offer|Fisher 2019 Eppendorf Centrifuges Offer|Fisher 2019 Eppendorf Centrifuges Offer — Quote / Offer,,.pdf
asset_9071f30d419449ec,Fisher offer Thermomixer Eppendorf Sept 2019.pdf,ORDERS & RELATED INFORMATION/Archive/OFFERS_QUOTES/Fisher offer Thermomixer Eppendorf Sept 2019.pdf,ORDERS & RELATED INFORMATION › Archive › OFFERS_QUOTES,orders_procurement,orders_archive,False,,,Order Form — Fisher Offer Thermomixer Eppendorf Sept 2019,Fisher Offer Thermomixer Eppendorf Sept 2019 — Quote / Offer,Order Form — Fisher Offer Thermomixer Eppendo…,Fisher Offer Thermomixer Eppendorf Sept 2019 — Quote / Offer,Quote / Offer,order_form,quote_or_offer,Quote / Offer,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Quotes & Offers,supplier quote or offer,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Fisher_Offer_Thermomixer_Eppendorf_Sept_2019_Quote_-_Offer.pdf,Fisher offer Thermomixer Eppendorf Sept 2019.pdf|Fisher offer Thermomixer Eppendorf Sept 2019|Order Form — Fisher Offer Thermomixer Eppendorf Sept 2019|Fisher Offer Thermomixer Eppendorf Sept 2019|Fisher Offer Thermomixer Eppendorf Sept 2019 — Quote / Offer,,.pdf
asset_27de40b2a329bd0c,FotoprofiiliOffer_AF_lab_Helsingin Yliopisto_06.04.22.pdf,ORDERS & RELATED INFORMATION/Archive/OFFERS_QUOTES/FotoprofiiliOffer_AF_lab_Helsingin Yliopisto_06.04.22.pdf,ORDERS & RELATED INFORMATION › Archive › OFFERS_QUOTES,orders_procurement,orders_archive,False,,,Order Form — Fotoprofiili Offer AF Lab Helsingin Yliopisto 06 04 22,Fotoprofiili Offer AF Lab Helsingin Yliopisto 06.04.22 — Order / Procurement Record — 2022-04-06,Order Form — Fotoprofiili Offer AF Lab Helsin…,Fotoprofiili Offer AF Lab Helsingin Yliopisto 06.04.22 — Order / Procur…,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Procurement Records,general order/procurement record,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Fotoprofiili_Offer_AF_Lab_Helsingin_Yliopisto_06.04.22_Order_-_Procurement_Record_2022-04-06.pdf,FotoprofiiliOffer_AF_lab_Helsingin Yliopisto_06.04.22.pdf|FotoprofiiliOffer_AF_lab_Helsingin Yliopisto_06.04.22|Order Form — Fotoprofiili Offer AF Lab Helsingin Yliopisto 06 04 22|Fotoprofiili Offer AF Lab Helsingin Yliopisto 06.04.22|Fotoprofiili Offer AF Lab Helsingin Yliopisto 06.04.22 — Order / Procurement Record — 2022-04-06,,.pdf
asset_e68267aef195c185,Labnet 2019 Eppendorf and Sigma centrifuge offer.docx,ORDERS & RELATED INFORMATION/Archive/OFFERS_QUOTES/Labnet 2019 Eppendorf and Sigma centrifuge offer.docx,ORDERS & RELATED INFORMATION › Archive › OFFERS_QUOTES,orders_procurement,orders_archive,False,,,Order Form — Labnet 2019 Eppendorf and Sigma Centrifuge Offer,Labnet 2019 Eppendorf and Sigma Centrifuge Offer — Quote / Offer,Order Form — Labnet 2019 Eppendorf and Sigma …,Labnet 2019 Eppendorf and Sigma Centrifuge Offer — Quote / Offer,Quote / Offer,order_form,quote_or_offer,Quote / Offer,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Quotes & Offers,supplier quote or offer,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Labnet_2019_Eppendorf_and_Sigma_Centrifuge_Offer_Quote_-_Offer.docx,Labnet 2019 Eppendorf and Sigma centrifuge offer.docx|Labnet 2019 Eppendorf and Sigma centrifuge offer|Order Form — Labnet 2019 Eppendorf and Sigma Centrifuge Offer|Labnet 2019 Eppendorf and Sigma Centrifuge Offer|Labnet 2019 Eppendorf and Sigma Centrifuge Offer — Quote / Offer,,.docx
