duplicate_group_id,canonical_asset_id,duplicate_asset_ids,duplicate_type,duplicate_reason,recommended_action,safe_to_suppress_from_browse,safe_to_delete_after_human_review,keep_reason,risk_level,group_size
sha256_585a1deab4ec7722,asset_b32c80e380d956a2,['asset_e31d481b5c58923b'],exact_duplicate,2 files share SHA256 585a1deab4ec…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in WET_LAB/tCycIF projects/tCycIF_individual_Projects/Project_3_Experiment_5_FA.xlsx,low,2
sha256_01ba4719c80b6fe9,asset_e2e2b71e1474c415,"['asset_a18cb0081e2991e1', 'asset_7dd543e014290b57', 'asset_7e9ac9dd4c707849', 'asset_4eb3c51f94b0377a', 'asset_80ab3cfec8611219', 'asset_58e2e91352363ac4', 'asset_dc9c2b3d1e1ab35b', 'asset_534b3527dd0bffb0']",version_variant,9 files share SHA256 01ba4719c80b…,review_before_suppress,False,False,Best extraction/metadata in projects/14_CIN2_project/README.md,medium,9
sha256_61216610725a1ba9,asset_42aa44abd25b4696,['asset_68c2457fc3502283'],exact_duplicate,2 files share SHA256 61216610725a…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/RESEARCH MATERIALS/Conference abstracts and materials/ESGO 2026/ESGO_2026_EllaA.pptx,low,2
sha256_7c457785aa81942a,asset_f6585758f1c53764,['asset_3c29c238aa96fbf4'],exact_duplicate,2 files share SHA256 7c457785aa81…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/15_icPDC/Presentations/Ainos_thesis/Elomaa_Aino_Thesis_presentation.pptx,low,2
sha256_51e70a48211b8d91,asset_dc030d482c3eb082,['asset_e0d38319a04566cc'],exact_duplicate,2 files share SHA256 51e70a48211b…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/22_NKI/2. Methods and experiments/CEFIIRA_for_deb/33_66_percentiles_clinical_outcome_primary_samples_112025.csv,low,2
sha256_b8cfdd414af5f58e,asset_626f2eebbfec7216,['asset_a1550f92fb37fa54'],exact_duplicate,2 files share SHA256 b8cfdd414af5…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/22_NKI/2. Methods and experiments/CEFIIRA_for_deb/CEFIIRA_OS_Primary_samples_112025/1_Cancer_BRCAmutmet_HRD_PDS.csv,low,2
sha256_fb6019fbbb1bb5c0,asset_24bd40d7982a4dd2,['asset_d64bd391a36f8d46'],exact_duplicate,2 files share SHA256 fb6019fbbb1b…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/22_NKI/2. Methods and experiments/CEFIIRA_for_deb/CEFIIRA_OS_Primary_samples_112025/cefiira.py,low,2
sha256_1f9897a20858905b,asset_4b2486ac52363208,['asset_e2d3d803de1f06fa'],version_variant,2 files share SHA256 1f9897a20858…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/2. Methods and experiments/NKI_validation_WSI_2024/Copy of 4_2_NKI_exp.xlsx,medium,2
sha256_336d3219145af4e2,asset_8d6ea55f4c0ca621,['asset_8f82b72eb8ec69b3'],exact_duplicate,2 files share SHA256 336d3219145a…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/22_NKI/2. Methods and experiments/NKI_validation_WSI_2024/Logic_table_Ada_Fernando_tribus.xlsx,low,2
sha256_ebe5e89253d7a1e0,asset_3271c3efd740040e,['asset_394531575598908a'],exact_duplicate,2 files share SHA256 ebe5e89253d7…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/22_NKI/2. Methods and experiments/WSI_MHCII_samples_info.csv,low,2
sha256_288b37e76acf3235,asset_c9122024ac9b754b,['asset_debb91e561bcc54d'],version_variant,2 files share SHA256 288b37e76acf…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/Perez et al - Summer 2025.md,medium,2
sha256_d1b2b9c88f228ed4,asset_e5221484ca75bd70,"['asset_832e52bde8b80d92', 'asset_23464a8341d54138']",version_variant,3 files share SHA256 d1b2b9c88f22…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/Figure2.pdf,medium,3
sha256_9dd95609b60aab58,asset_df83e928423810bc,['asset_822613b43963272d'],version_variant,2 files share SHA256 9dd95609b60a…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/For_submission_v1_092025/2_Manuscript.md,medium,2
sha256_f735d6c2e29aeddf,asset_30abd58a844f2e1d,['asset_bf117b60ff2ff5fa'],version_variant,2 files share SHA256 f735d6c2e29a…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/Revisions_from_CancerDiscovery/For_submission_v2_122025/Figure1.pdf,medium,2
sha256_e34e9a417ace217f,asset_56f9c6b4da2e429c,['asset_7cc434669922a726'],version_variant,2 files share SHA256 e34e9a417ace…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/Revisions_from_CancerDiscovery/For_submission_v2_122025/Figure3.pdf,medium,2
sha256_6d88239f51a33ca9,asset_bfe12ddba5c990fc,['asset_1a11801bb3fdd53b'],version_variant,2 files share SHA256 6d88239f51a3…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/Revisions_from_CancerDiscovery/For_submission_v2_122025/Figure5.pdf,medium,2
sha256_73cc2133256369e1,asset_2172185c7a5444ac,['asset_ca4587005211b77c'],version_variant,2 files share SHA256 73cc21332563…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/Revisions_from_CancerDiscovery/For_submission_v2_122025/Figure7.pdf,medium,2
sha256_217c3dd620028700,asset_af6e440a2786e9e3,['asset_c963872ebc01db7e'],version_variant,2 files share SHA256 217c3dd62002…,review_before_suppress,False,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/Revisions_from_CancerDiscovery/Re-Submission after provisional acceptance 2026/Cover letter.md,medium,2
sha256_81ec6b58b703eb87,asset_60cd615ebccf346e,['asset_5a8aabbcb701b2e5'],exact_duplicate,2 files share SHA256 81ec6b58b703…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/SuppFigure1.pdf,low,2
sha256_c2736b6ebcb08a85,asset_78bdb368eb84eaac,['asset_e46cdb67b12cabb8'],exact_duplicate,2 files share SHA256 c2736b6ebcb0…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/SuppFigure2.pdf,low,2
sha256_51c768e9965c70b9,asset_917942552d41ef7b,['asset_e3783926b4d2e3da'],exact_duplicate,2 files share SHA256 51c768e9965c…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/22_NKI/5. Writing and dissemination/Manuscript/SuppFigure5.pdf,low,2
sha256_f5a1d0491d446e69,asset_df4216003c2c1979,['asset_33f7bdd26a5abd0d'],version_variant,2 files share SHA256 f5a1d0491d44…,review_before_suppress,False,False,Best extraction/metadata in projects/29_Tribus/Figures/Fig3_v4.pdf,medium,2
sha256_2617d78b9d7e24be,asset_574d6b71d572aad9,['asset_8711a82a053c34c7'],version_variant,2 files share SHA256 2617d78b9d7e…,review_before_suppress,False,False,Best extraction/metadata in projects/29_Tribus/Figures/Fig3_v4.png,medium,2
